Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
2000,SEA,91,71,5.6,0.26899999999999996,0.361,0.442,0.8029999999999999
2000,SFG,97,65,5.71,0.278,0.36200000000000004,0.47200000000000003,0.8340000000000001
2000,STL,95,67,5.48,0.27,0.35600000000000004,0.455,0.812
2000,TBD,69,92,4.55,0.257,0.32899999999999996,0.39899999999999997,0.728
2000,TEX,71,91,5.23,0.28300000000000003,0.35200000000000004,0.446,0.7979999999999999
2000,TOR,83,79,5.31,0.275,0.341,0.469,0.81
2001,ANA,75,87,4.27,0.261,0.327,0.405,0.732
2001,ARI,92,70,5.05,0.267,0.341,0.442,0.7829999999999999
2001,ATL,88,74,4.5,0.26,0.324,0.41200000000000003,0.736
2001,BAL,63,98,4.24,0.248,0.319,0.38,0.6990000000000001
2001,BOS,82,79,4.8,0.266,0.33399999999999996,0.439,0.773
2001,CHW,83,79,4.93,0.268,0.33399999999999996,0.451,0.785
2001,CHC,88,74,4.8,0.261,0.336,0.43,0.7659999999999999
2001,CIN,66,96,4.54,0.262,0.324,0.419,0.7440000000000001
2001,CLE,91,71,5.54,0.278,0.35,0.45799999999999996,0.807
2001,COL,73,89,5.7,0.292,0.354,0.483,0.8370000000000001
2001,DET,66,96,4.47,0.26,0.32,0.409,0.73
2001,FLA,76,86,4.58,0.264,0.326,0.423,0.7490000000000001
2001,HOU,93,69,5.23,0.271,0.34700000000000003,0.451,0.7979999999999999
2001,KCR,65,97,4.5,0.266,0.318,0.409,0.727
2001,LAD,86,76,4.68,0.255,0.32299999999999995,0.425,0.748
2001,MIL,68,94,4.57,0.251,0.319,0.426,0.745
2001,MIN,85,77,4.76,0.272,0.337,0.433,0.77
2001,MON,68,94,4.14,0.253,0.319,0.396,0.715
2001,NYY,95,65,4.99,0.267,0.33399999999999996,0.435,0.769
2001,NYM,82,80,3.96,0.249,0.32299999999999995,0.387,0.71
2001,OAK,102,60,5.46,0.264,0.345,0.439,0.784
2001,PHI,86,76,4.6,0.26,0.32899999999999996,0.414,0.743
2001,PIT,62,100,4.06,0.247,0.313,0.39299999999999996,0.706
2001,SDP,79,83,4.87,0.252,0.336,0.39899999999999997,0.735
2001,SEA,116,46,5.72,0.28800000000000003,0.36,0.445,0.805
2001,SFG,90,72,4.93,0.266,0.342,0.46,0.802
2001,STL,93,69,5.02,0.27,0.33899999999999997,0.441,0.78
2001,TBD,62,100,4.15,0.258,0.32,0.38799999999999996,0.7070000000000001
2001,TEX,73,89,5.49,0.275,0.344,0.47100000000000003,0.815
2001,TOR,80,82,4.73,0.263,0.325,0.43,0.755
2002,ANA,99,63,5.25,0.282,0.341,0.433,0.773
2002,ARI,98,64,5.06,0.267,0.34600000000000003,0.423,0.769
2002,ATL,101,59,4.4,0.26,0.331,0.409,0.741
2002,BAL,67,95,4.12,0.24600000000000002,0.309,0.40299999999999997,0.7120000000000001
2002,BOS,93,69,5.3,0.27699999999999997,0.345,0.444,0.789
2002,CHW,81,81,5.28,0.268,0.33799999999999997,0.449,0.787
2002,CHC,67,95,4.36,0.24600000000000002,0.321,0.413,0.7340000000000001
2002,CIN,78,84,4.38,0.253,0.33,0.408,0.738
2002,CLE,74,88,4.56,0.249,0.321,0.41200000000000003,0.733
2002,COL,73,89,4.8,0.27399999999999997,0.337,0.423,0.76
2002,DET,55,106,3.57,0.248,0.3,0.379,0.679
2002,FLA,79,83,4.31,0.261,0.337,0.40299999999999997,0.74
2002,HOU,84,78,4.62,0.262,0.33799999999999997,0.41700000000000004,0.755
2002,KCR,62,100,4.55,0.256,0.32299999999999995,0.39799999999999996,0.721
2002,LAD,92,70,4.4,0.264,0.32,0.409,0.7290000000000001
2002,MIL,56,106,3.87,0.253,0.32,0.39,0.711
2002,MIN,94,67,4.77,0.272,0.332,0.43700000000000006,0.769
2002,MON,83,79,4.54,0.261,0.33399999999999996,0.418,0.752
2002,NYY,103,58,5.57,0.275,0.354,0.455,0.809
2002,NYM,75,86,4.29,0.256,0.322,0.395,0.7170000000000001
2002,OAK,103,59,4.94,0.261,0.33899999999999997,0.43200000000000005,0.7709999999999999
2002,PHI,80,81,4.41,0.259,0.33899999999999997,0.42200000000000004,0.7609999999999999
2002,PIT,72,89,3.98,0.244,0.319,0.381,0.7
2002,SDP,66,96,4.09,0.253,0.321,0.381,0.7020000000000001
