Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
2010,PHI,97,65,4.77,0.26,0.332,0.413,0.745
2010,PIT,57,105,3.62,0.242,0.304,0.373,0.6779999999999999
2010,SDP,90,72,4.1,0.24600000000000002,0.317,0.371,0.6890000000000001
2010,SEA,61,101,3.17,0.23600000000000002,0.298,0.33899999999999997,0.637
2010,SFG,92,70,4.3,0.257,0.321,0.408,0.7290000000000001
2010,STL,86,76,4.54,0.263,0.332,0.402,0.733
2010,TBR,96,66,4.95,0.247,0.33299999999999996,0.40299999999999997,0.736
2010,TEX,90,72,4.86,0.276,0.33799999999999997,0.419,0.757
2010,TOR,85,77,4.66,0.248,0.312,0.45399999999999996,0.7659999999999999
2010,WSN,69,93,4.04,0.25,0.318,0.39,0.708
2011,ARI,94,68,4.51,0.25,0.322,0.413,0.736
2011,ATL,89,73,3.96,0.243,0.308,0.387,0.695
2011,BAL,69,93,4.37,0.257,0.316,0.413,0.7290000000000001
2011,BOS,90,72,5.4,0.28,0.349,0.461,0.81
2011,CHW,79,83,4.04,0.252,0.319,0.38799999999999996,0.706
2011,CHC,71,91,4.04,0.256,0.314,0.401,0.715
2011,CIN,79,83,4.54,0.256,0.326,0.408,0.7340000000000001
2011,CLE,80,82,4.35,0.25,0.317,0.396,0.7140000000000001
2011,COL,73,89,4.54,0.258,0.32899999999999996,0.41,0.7390000000000001
2011,DET,95,67,4.86,0.27699999999999997,0.34,0.434,0.773
2011,FLA,72,90,3.86,0.247,0.318,0.38799999999999996,0.706
2011,HOU,56,106,3.8,0.258,0.311,0.374,0.684
2011,KCR,71,91,4.51,0.275,0.32899999999999996,0.415,0.7440000000000001
2011,LAA,86,76,4.12,0.253,0.313,0.402,0.7140000000000001
2011,LAD,82,79,4.0,0.257,0.322,0.375,0.6970000000000001
2011,MIL,96,66,4.45,0.261,0.325,0.425,0.75
2011,MIN,63,99,3.82,0.247,0.306,0.36,0.6659999999999999
2011,NYY,97,65,5.35,0.263,0.34299999999999997,0.444,0.7879999999999999
2011,NYM,77,85,4.43,0.264,0.335,0.391,0.725
2011,OAK,74,88,3.98,0.244,0.311,0.369,0.68
2011,PHI,102,60,4.4,0.253,0.32299999999999995,0.395,0.7170000000000001
2011,PIT,72,90,3.77,0.244,0.309,0.368,0.6759999999999999
2011,SDP,71,91,3.66,0.237,0.305,0.349,0.653
2011,SEA,67,95,3.43,0.233,0.292,0.348,0.64
2011,SFG,86,76,3.52,0.242,0.303,0.368,0.6709999999999999
2011,STL,90,72,4.7,0.273,0.341,0.425,0.7659999999999999
2011,TBR,91,71,4.36,0.244,0.322,0.402,0.7240000000000001
2011,TEX,96,66,5.28,0.28300000000000003,0.34,0.46,0.8
2011,TOR,81,81,4.59,0.249,0.317,0.413,0.73
2011,WSN,80,81,3.88,0.242,0.309,0.38299999999999995,0.691
2012,ARI,81,81,4.53,0.259,0.32799999999999996,0.418,0.746
2012,ATL,94,68,4.32,0.247,0.32,0.389,0.7090000000000001
2012,BAL,93,69,4.4,0.247,0.311,0.41700000000000004,0.728
2012,BOS,69,93,4.53,0.26,0.315,0.415,0.73
2012,CHW,85,77,4.62,0.255,0.318,0.42200000000000004,0.74
2012,CHC,61,101,3.78,0.24,0.302,0.37799999999999995,0.68
2012,CIN,97,65,4.13,0.251,0.315,0.41100000000000003,0.726
2012,CLE,68,94,4.12,0.251,0.324,0.381,0.705
2012,COL,64,98,4.68,0.27399999999999997,0.33,0.436,0.7659999999999999
2012,DET,88,74,4.48,0.268,0.335,0.42200000000000004,0.757
2012,HOU,55,107,3.6,0.23600000000000002,0.302,0.371,0.6729999999999999
2012,KCR,72,90,4.17,0.265,0.317,0.4,0.716
2012,LAA,89,73,4.73,0.27399999999999997,0.332,0.433,0.764
2012,LAD,86,76,3.93,0.252,0.317,0.374,0.69
2012,MIA,69,93,3.76,0.244,0.308,0.382,0.69
2012,MIL,83,79,4.79,0.259,0.325,0.43700000000000006,0.762
2012,MIN,66,96,4.33,0.26,0.325,0.39,0.715
2012,NYY,95,67,4.96,0.265,0.337,0.45299999999999996,0.79
2012,NYM,74,88,4.01,0.249,0.316,0.386,0.701
2012,OAK,94,68,4.4,0.23800000000000002,0.31,0.40399999999999997,0.7140000000000001
2012,PHI,81,81,4.22,0.255,0.317,0.4,0.716
2012,PIT,79,83,4.02,0.243,0.304,0.395,0.6990000000000001
2012,SDP,76,86,4.02,0.247,0.319,0.38,0.6990000000000001
2012,SEA,75,87,3.82,0.23399999999999999,0.29600000000000004,0.369,0.665
2012,SFG,94,68,4.43,0.26899999999999996,0.327,0.397,0.7240000000000001
2012,STL,88,74,4.72,0.271,0.33799999999999997,0.42100000000000004,0.759
2012,TBR,90,72,4.3,0.24,0.317,0.39399999999999996,0.711
2012,TEX,93,69,4.99,0.273,0.33399999999999996,0.446,0.78
2012,TOR,73,89,4.42,0.245,0.309,0.40700000000000003,0.716
2012,WSN,98,64,4.51,0.261,0.322,0.428,0.75
2013,ARI,81,81,4.23,0.259,0.32299999999999995,0.391,0.715
2013,ATL,96,66,4.25,0.249,0.321,0.402,0.723
2013,BAL,85,77,4.6,0.26,0.313,0.431,0.7440000000000001
2013,BOS,97,65,5.27,0.27699999999999997,0.349,0.446,0.795
2013,CHW,63,99,3.69,0.249,0.302,0.37799999999999995,0.68
2013,CHC,66,96,3.72,0.23800000000000002,0.3,0.392,0.693
2013,CIN,90,72,4.31,0.249,0.327,0.391,0.718
2013,CLE,92,70,4.6,0.255,0.327,0.41,0.737
2013,COL,74,88,4.36,0.27,0.32299999999999995,0.418,0.741
2013,DET,93,69,4.91,0.28300000000000003,0.34600000000000003,0.434,0.78
2013,HOU,51,111,3.77,0.24,0.299,0.375,0.674
2013,KCR,86,76,4.0,0.26,0.315,0.379,0.6940000000000001
2013,LAA,78,84,4.52,0.264,0.32899999999999996,0.414,0.743
2013,LAD,92,70,4.01,0.264,0.326,0.396,0.722
2013,MIA,62,100,3.17,0.231,0.293,0.335,0.627
2013,MIL,74,88,3.95,0.252,0.311,0.39799999999999996,0.708
2013,MIN,66,96,3.79,0.242,0.312,0.38,0.6920000000000001
2013,NYY,85,77,4.01,0.242,0.307,0.376,0.6829999999999999
2013,NYM,74,88,3.82,0.237,0.306,0.366,0.672
2013,OAK,96,66,4.73,0.254,0.327,0.419,0.745
2013,PHI,73,89,3.77,0.248,0.306,0.384,0.69
2013,PIT,94,68,3.91,0.245,0.313,0.396,0.7090000000000001
2013,SDP,76,86,3.81,0.245,0.308,0.37799999999999995,0.6859999999999999
2013,SEA,71,91,3.85,0.237,0.306,0.39,0.695
2013,SFG,76,86,3.88,0.26,0.32,0.381,0.7020000000000001
2013,STL,97,65,4.83,0.26899999999999996,0.332,0.401,0.733
2013,TBR,92,71,4.29,0.257,0.32899999999999996,0.408,0.737
2013,TEX,91,72,4.48,0.262,0.32299999999999995,0.41200000000000003,0.735
2013,TOR,74,88,4.4,0.252,0.318,0.41100000000000003,0.7290000000000001
2013,WSN,86,76,4.05,0.251,0.313,0.39799999999999996,0.71
2014,ARI,64,98,3.8,0.248,0.302,0.376,0.6779999999999999
2014,ATL,79,83,3.54,0.24100000000000002,0.305,0.36,0.665
2014,BAL,96,66,4.35,0.256,0.311,0.42200000000000004,0.7340000000000001
2014,BOS,71,91,3.91,0.244,0.316,0.369,0.684
2014,CHW,73,89,4.07,0.253,0.31,0.39799999999999996,0.708
2014,CHC,73,89,3.79,0.239,0.3,0.385,0.684
2014,CIN,76,86,3.67,0.23800000000000002,0.29600000000000004,0.365,0.6609999999999999
2014,CLE,85,77,4.13,0.253,0.317,0.389,0.706
2014,COL,66,96,4.66,0.276,0.327,0.445,0.772
2014,DET,90,72,4.67,0.27699999999999997,0.331,0.426,0.757
2014,HOU,70,92,3.88,0.242,0.309,0.38299999999999995,0.6920000000000001
2014,KCR,89,73,4.02,0.263,0.314,0.376,0.69
2014,LAA,98,64,4.77,0.259,0.322,0.406,0.728
2014,LAD,94,68,4.43,0.265,0.33299999999999996,0.406,0.738
2014,MIA,77,85,3.98,0.253,0.317,0.37799999999999995,0.6940000000000001
2014,MIL,82,80,4.01,0.25,0.311,0.397,0.708
2014,MIN,70,92,4.41,0.254,0.324,0.389,0.713
2014,NYY,84,78,3.91,0.245,0.307,0.38,0.687
2014,NYM,79,83,3.88,0.239,0.308,0.364,0.6729999999999999
2014,OAK,88,74,4.5,0.244,0.32,0.381,0.7
2014,PHI,73,89,3.82,0.242,0.302,0.363,0.665
2014,PIT,88,74,4.21,0.259,0.33,0.40399999999999997,0.7340000000000001
2014,SDP,77,85,3.3,0.226,0.292,0.342,0.634
2014,SEA,87,75,3.91,0.244,0.3,0.376,0.6759999999999999
2014,SFG,88,74,4.1,0.255,0.311,0.38799999999999996,0.6990000000000001
2014,STL,90,72,3.82,0.253,0.32,0.369,0.6890000000000001
2014,TBR,77,85,3.78,0.247,0.317,0.36700000000000005,0.684
2014,TEX,67,95,3.93,0.256,0.314,0.375,0.6890000000000001
2014,TOR,83,79,4.46,0.259,0.32299999999999995,0.414,0.736
2014,WSN,96,66,4.23,0.253,0.321,0.39299999999999996,0.7140000000000001
2015,ARI,79,83,4.44,0.264,0.324,0.414,0.738
2015,ATL,67,95,3.54,0.251,0.314,0.359,0.674
2015,BAL,81,81,4.4,0.25,0.307,0.42100000000000004,0.728
2015,BOS,78,84,4.62,0.265,0.325,0.415,0.74
2015,CHW,76,86,3.84,0.25,0.306,0.38,0.6859999999999999
2015,CHC,97,65,4.25,0.244,0.321,0.39799999999999996,0.7190000000000001
2015,CIN,64,98,3.95,0.248,0.312,0.39399999999999996,0.706
2015,CLE,81,80,4.16,0.256,0.325,0.401,0.725
2015,COL,68,94,4.55,0.265,0.315,0.43200000000000005,0.748
2015,DET,74,87,4.28,0.27,0.32799999999999996,0.42,0.748
2015,HOU,86,76,4.5,0.25,0.315,0.43700000000000006,0.752
2015,KCR,95,67,4.47,0.26899999999999996,0.322,0.41200000000000003,0.7340000000000001
2015,LAA,85,77,4.08,0.24600000000000002,0.307,0.396,0.7020000000000001
2015,LAD,92,70,4.12,0.25,0.326,0.413,0.7390000000000001
2015,MIA,71,91,3.78,0.26,0.31,0.384,0.6940000000000001
2015,MIL,68,94,4.04,0.251,0.307,0.39299999999999996,0.7
2015,MIN,83,79,4.3,0.247,0.305,0.39899999999999997,0.7040000000000001
2015,NYY,87,75,4.72,0.251,0.32299999999999995,0.42100000000000004,0.7440000000000001
2015,NYM,90,72,4.22,0.244,0.312,0.4,0.7120000000000001
2015,OAK,68,94,4.28,0.251,0.312,0.395,0.7070000000000001
2015,PHI,63,99,3.86,0.249,0.303,0.382,0.684
2015,PIT,98,64,4.3,0.26,0.32299999999999995,0.396,0.7190000000000001
2015,SDP,74,88,4.01,0.243,0.3,0.385,0.685
2015,SEA,76,86,4.05,0.249,0.311,0.41100000000000003,0.722
2015,SFG,84,78,4.3,0.267,0.326,0.406,0.732
2015,STL,100,62,3.99,0.253,0.321,0.39399999999999996,0.716
2015,TBR,80,82,3.98,0.252,0.314,0.406,0.72
2015,TEX,88,74,4.64,0.257,0.325,0.413,0.7390000000000001
2015,TOR,93,69,5.5,0.26899999999999996,0.34,0.457,0.797
2015,WSN,83,79,4.34,0.251,0.321,0.40299999999999997,0.7240000000000001
2016,ARI,69,93,4.64,0.261,0.32,0.43200000000000005,0.752
2016,ATL,68,93,4.03,0.255,0.321,0.384,0.705
2016,BAL,89,73,4.59,0.256,0.317,0.44299999999999995,0.76
2016,BOS,93,69,5.42,0.282,0.348,0.461,0.81
2016,CHW,78,84,4.23,0.257,0.317,0.41,0.727
2016,CHC,103,58,4.99,0.256,0.34299999999999997,0.429,0.772
2016,CIN,68,94,4.42,0.256,0.316,0.408,0.7240000000000001
2016,CLE,94,67,4.83,0.262,0.32899999999999996,0.43,0.759
2016,COL,75,87,5.22,0.275,0.336,0.457,0.794
2016,DET,86,75,4.66,0.267,0.331,0.43799999999999994,0.769
2016,HOU,84,78,4.47,0.247,0.319,0.41700000000000004,0.735
2016,KCR,81,81,4.17,0.261,0.312,0.4,0.7120000000000001
2016,LAA,74,88,4.43,0.26,0.322,0.405,0.726
2016,LAD,91,71,4.48,0.249,0.319,0.409,0.728
2016,MIA,79,82,4.07,0.263,0.322,0.39399999999999996,0.716
2016,MIL,73,89,4.14,0.244,0.322,0.40700000000000003,0.7290000000000001
2016,MIN,59,103,4.46,0.251,0.316,0.42100000000000004,0.738
2016,NYY,84,78,4.2,0.252,0.315,0.405,0.72
2016,NYM,87,75,4.14,0.24600000000000002,0.316,0.41700000000000004,0.733
2016,OAK,69,93,4.03,0.24600000000000002,0.304,0.395,0.6990000000000001
2016,PHI,71,91,3.77,0.24,0.301,0.384,0.685
2016,PIT,78,83,4.5,0.257,0.332,0.402,0.7340000000000001
2016,SDP,68,94,4.23,0.235,0.299,0.39,0.6890000000000001
2016,SEA,86,76,4.74,0.259,0.326,0.43,0.7559999999999999
2016,SFG,87,75,4.41,0.258,0.32899999999999996,0.39799999999999996,0.728
2016,STL,86,76,4.81,0.255,0.325,0.442,0.767
2016,TBR,68,94,4.15,0.243,0.307,0.426,0.733
2016,TEX,95,67,4.72,0.262,0.322,0.433,0.755
2016,TOR,89,73,4.69,0.248,0.33,0.426,0.755
2016,WSN,95,67,4.71,0.256,0.326,0.426,0.7509999999999999
2017,ARI,93,69,5.01,0.254,0.32899999999999996,0.445,0.774
2017,ATL,72,90,4.52,0.263,0.326,0.41200000000000003,0.738
2017,BAL,75,87,4.59,0.26,0.312,0.435,0.747
2017,BOS,93,69,4.85,0.258,0.32899999999999996,0.40700000000000003,0.736
2017,CHW,67,95,4.36,0.256,0.314,0.41700000000000004,0.731
2017,CHC,92,70,5.07,0.255,0.33799999999999997,0.43700000000000006,0.775
2017,CIN,68,94,4.65,0.253,0.32899999999999996,0.433,0.7609999999999999
2017,CLE,102,60,5.05,0.263,0.33899999999999997,0.449,0.7879999999999999
2017,COL,87,75,5.09,0.273,0.33799999999999997,0.444,0.7809999999999999
2017,DET,64,98,4.54,0.258,0.324,0.424,0.748
2017,HOU,101,61,5.53,0.282,0.34600000000000003,0.478,0.823
2017,KCR,80,82,4.33,0.259,0.311,0.42,0.731
2017,LAA,80,82,4.38,0.243,0.315,0.397,0.7120000000000001
2017,LAD,104,58,4.75,0.249,0.33399999999999996,0.43700000000000006,0.7709999999999999
2017,MIA,77,85,4.8,0.267,0.331,0.431,0.7609999999999999
2017,MIL,86,76,4.52,0.249,0.322,0.429,0.7509999999999999
2017,MIN,85,77,5.03,0.26,0.33399999999999996,0.434,0.768
2017,NYY,91,71,5.3,0.262,0.33899999999999997,0.447,0.785
2017,NYM,70,92,4.54,0.25,0.32,0.434,0.755
2017,OAK,75,87,4.56,0.24600000000000002,0.319,0.436,0.755
2017,PHI,66,96,4.26,0.25,0.315,0.409,0.723
2017,PIT,75,87,4.12,0.244,0.318,0.386,0.7040000000000001
2017,SDP,71,91,3.73,0.23399999999999999,0.299,0.39299999999999996,0.6920000000000001
2017,SEA,78,84,4.63,0.259,0.325,0.424,0.7490000000000001
2017,SFG,64,98,3.94,0.249,0.309,0.38,0.6890000000000001
2017,STL,83,79,4.7,0.256,0.33399999999999996,0.426,0.76
2017,TBR,80,82,4.28,0.245,0.317,0.42200000000000004,0.7390000000000001
2017,TEX,78,84,4.93,0.244,0.32,0.43,0.75
2017,TOR,76,86,4.28,0.24,0.312,0.41200000000000003,0.7240000000000001
2017,WSN,97,65,5.06,0.266,0.332,0.449,0.782
2018,ARI,82,80,4.28,0.235,0.31,0.397,0.7070000000000001
2018,ATL,90,72,4.69,0.257,0.324,0.41700000000000004,0.742
2018,BAL,47,115,3.84,0.239,0.298,0.391,0.6890000000000001
2018,BOS,108,54,5.41,0.268,0.33899999999999997,0.45299999999999996,0.792
2018,CHW,62,100,4.05,0.24100000000000002,0.302,0.401,0.703
2018,CHC,95,68,4.67,0.258,0.33299999999999996,0.41,0.7440000000000001
2018,CIN,67,95,4.3,0.254,0.32799999999999996,0.401,0.7290000000000001
2018,CLE,91,71,5.05,0.259,0.332,0.434,0.7659999999999999
2018,COL,91,72,4.79,0.256,0.322,0.435,0.757
2018,DET,64,98,3.89,0.24100000000000002,0.3,0.38,0.68
2018,HOU,103,59,4.92,0.255,0.32899999999999996,0.425,0.754
2018,KCR,58,104,3.94,0.245,0.305,0.392,0.6970000000000001
2018,LAA,80,82,4.45,0.242,0.313,0.413,0.726
2018,LAD,92,71,4.93,0.25,0.33299999999999996,0.442,0.774
2018,MIA,63,98,3.66,0.237,0.303,0.35700000000000004,0.659
2018,MIL,96,67,4.63,0.252,0.32299999999999995,0.424,0.747
2018,MIN,78,84,4.56,0.25,0.318,0.405,0.723
2018,NYY,100,62,5.25,0.249,0.32899999999999996,0.451,0.7809999999999999
2018,NYM,77,85,4.17,0.23399999999999999,0.312,0.389,0.701
2018,OAK,97,65,5.02,0.252,0.325,0.439,0.764
2018,PHI,80,82,4.18,0.23399999999999999,0.314,0.39299999999999996,0.7070000000000001
2018,PIT,82,79,4.3,0.254,0.317,0.40700000000000003,0.725
2018,SDP,66,96,3.81,0.235,0.297,0.38,0.677
2018,SEA,89,73,4.18,0.254,0.314,0.408,0.722
2018,SFG,73,89,3.72,0.239,0.3,0.368,0.667
2018,STL,88,74,4.69,0.249,0.321,0.409,0.73
2018,TBR,90,72,4.42,0.258,0.33299999999999996,0.406,0.74
2018,TEX,67,95,4.55,0.24,0.318,0.40399999999999997,0.722
2018,TOR,73,89,4.38,0.244,0.312,0.42700000000000005,0.7390000000000001
2018,WSN,82,80,4.76,0.254,0.335,0.419,0.753
